area_type,bath,balcony,price,bhk,has_society,society_freq,availability_group,location_grouped,location_target_enc,total_sqft
Plot  Area,7.0,2.0,63.0,6.0,0,0.0,Ready To Move,Other,72.76222222222222,600.0
Super built-up  Area,3.0,3.0,160.0,3.0,0,0.0,Ready To Move,malleshwaram,359.8803571428571,1600.0
Plot  Area,2.0,0.0,79.0,2.0,0,0.0,Ready To Move,Other,60.815999999999995,1200.0
Plot  Area,4.0,1.0,750.0,6.0,0,0.0,Ready To Move,indira nagar,288.3255813953488,2480.0
Super built-up  Area,3.0,2.0,270.0,3.0,0,0.0,Q2 Possession,Other,335.0,2500.0
Plot  Area,5.0,3.0,100.0,5.0,0,0.0,Ready To Move,devanahalli,119.83911111111112,2400.0
Super built-up  Area,2.0,2.0,65.0,2.0,0,0.0,Ready To Move,Other,86.025625,1143.0
Super built-up  Area,2.0,2.0,61.74,2.0,1,24.0,Ready To Move,kanakpura road,71.84865461847389,1470.0
Plot  Area,3.0,2.0,145.0,4.0,0,0.0,Ready To Move,Other,145.0,1584.0
Super built-up  Area,3.0,2.0,94.0,3.0,1,4.0,Ready To Move,marathahalli,102.42970414201183,1785.0
Super built-up  Area,3.0,2.0,286.0,3.0,0,0.0,Ready To Move,koramangala,205.215,2292.0
Super built-up  Area,3.0,3.0,71.0,3.0,0,0.0,Ready To Move,kothanur,95.790625,1460.0
Super built-up  Area,2.0,3.0,80.0,3.0,0,0.0,Ready To Move,Other,127.96875,1500.0
Plot  Area,4.0,1.0,140.0,5.0,0,0.0,Ready To Move,yelahanka,86.26330952380954,1200.0
Built-up  Area,3.0,2.0,250.0,5.0,0,0.0,Ready To Move,sanjay nagar,126.35999999999999,3300.0
Super built-up  Area,2.0,2.0,48.0,2.0,0,0.0,Ready To Move,chikkalasandra,71.68931034482758,1230.0
Super built-up  Area,1.0,1.0,20.0,1.0,1,16.0,Ready To Move,yelahanka new town,83.86585365853658,650.0
Super built-up  Area,2.0,2.0,120.0,2.0,0,0.0,Ready To Move,Other,346.7433333333333,1480.0
Super built-up  Area,2.0,1.0,43.92,2.0,1,26.0,Ready To Move,thanisandra,82.59086206896552,1220.0
Super built-up  Area,3.0,1.0,115.0,3.0,1,4.0,Ready To Move,Other,123.75,1570.0
Built-up  Area,3.0,3.0,400.0,3.0,0,0.0,Ready To Move,Other,1011.1,3000.0
Super built-up  Area,3.0,2.0,86.91,3.0,1,3.0,Ready To Move,Other,71.049375,1665.0
Plot  Area,3.0,1.0,380.0,3.0,0,0.0,Ready To Move,Other,146.80555555555554,1350.0
Plot  Area,5.0,2.0,600.0,4.0,1,37.0,Ready To Move,sarjapur  road,120.91663588390502,4000.0
Plot  Area,2.0,0.0,68.0,2.0,0,0.0,Ready To Move,ramamurthy nagar,86.1576388888889,1100.0
Super built-up  Area,2.0,1.0,87.01,3.0,1,6.0,Ready To Move,Other,77.83473684210526,1350.0
Built-up  Area,3.0,2.0,116.0,3.0,1,5.0,Ready To Move,kasavanhalli,116.52607594936708,1719.0
Super built-up  Area,1.0,1.0,35.0,1.0,1,42.0,Ready To Move,budigere,68.87882978723404,664.0
Super built-up  Area,2.0,1.0,50.53,2.0,1,13.0,Q4 Possession,sonnenahalli,54.31340909090909,1011.0
Built-up  Area,6.0,0.0,130.0,6.0,0,0.0,Ready To Move,Other,77.454,2400.0
Super built-up  Area,3.0,2.0,85.0,3.0,0,0.0,Ready To Move,Other,129.42857142857142,1680.0
Super built-up  Area,2.0,0.0,49.475,2.0,1,2.0,Ready To Move,yeshwanthpur,98.1728313253012,717.0
Plot  Area,4.0,2.0,110.0,4.0,0,0.0,Ready To Move,Other,139.02272727272728,700.0
Super built-up  Area,2.0,2.0,150.0,3.0,1,1.0,Ready To Move,whitefield,129.65500954198475,1520.0
Carpet  Area,2.0,2.0,53.0,3.0,1,1.0,Ready To Move,uttarahalli,63.26853503184713,1350.0
Super built-up  Area,3.0,2.0,150.0,3.0,1,12.0,Q4 Possession,kothanur,95.790625,1760.0
Super built-up  Area,2.0,1.0,33.0,2.0,1,3.0,Ready To Move,Other,58.565,875.0
Super built-up  Area,2.0,2.0,48.0,2.0,1,2.0,Ready To Move,hennur,75.1011224489796,1231.0
Super built-up  Area,2.0,3.0,74.0,2.0,1,2.0,Ready To Move,somasundara palya,75.48518518518519,1174.0
Built-up  Area,3.0,3.0,75.0,3.0,1,1.0,Ready To Move,munnekollal,120.62208333333335,1560.0
Super built-up  Area,2.0,2.0,56.0,2.0,0,0.0,Ready To Move,Other,55.333333333333336,1464.0
Plot  Area,3.0,2.0,130.0,3.0,0,0.0,Ready To Move,kanakpura road,71.84865461847389,2200.0
Built-up  Area,2.0,2.0,55.0,2.0,0,0.0,Ready To Move,Other,125.42307692307692,850.0
Built-up  Area,3.0,1.0,180.0,3.0,1,1.0,Ready To Move,Other,180.0,1750.0
Super built-up  Area,3.0,2.0,157.0,3.0,1,4.0,Ready To Move,1st phase jp nagar,170.7,2024.0
Plot  Area,1.0,0.0,160.0,2.0,0,0.0,Ready To Move,Other,160.0,1500.0
Plot  Area,6.0,2.0,275.0,6.0,0,0.0,Ready To Move,Other,275.0,2100.0
Super built-up  Area,4.0,2.0,260.0,3.0,1,8.0,Ready To Move,Other,367.73333333333335,2408.0
Super built-up  Area,2.0,1.0,44.0,2.0,1,4.0,Ready To Move,devanahalli,119.83911111111112,1080.0
Super built-up  Area,3.0,2.0,225.0,3.0,0,0.0,Ready To Move,indira nagar,288.3255813953488,2070.0
Built-up  Area,2.0,1.0,29.46,2.0,0,0.0,Q4 Possession,electronic city,55.482145328719724,1020.0
Super built-up  Area,2.0,3.0,55.0,3.0,1,37.0,Ready To Move,begur road,59.920405405405404,1500.0
Plot  Area,5.0,1.0,158.0,4.0,0,0.0,Ready To Move,Other,294.84615384615387,1575.0
Plot  Area,4.0,1.0,180.0,4.0,0,0.0,Ready To Move,kodichikkanahalli,69.64814814814815,3250.0
Super built-up  Area,2.0,1.0,47.0,2.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,1175.0
Super built-up  Area,2.0,1.0,34.5,2.0,1,14.0,Ready To Move,channasandra,62.578421052631576,1030.0
Super built-up  Area,2.0,1.0,115.0,2.0,1,12.0,Q3 Possession,hebbal,164.6091304347826,1440.0
Built-up  Area,2.0,1.0,84.0,2.0,1,6.0,Ready To Move,hoodi,91.65022727272728,1500.0
Plot  Area,1.0,1.0,62.1,1.0,0,0.0,Ready To Move,thanisandra,82.59086206896552,1380.0
Built-up  Area,2.0,3.0,50.0,2.0,1,2.0,Ready To Move,Other,75.174,1200.0
Built-up  Area,1.0,2.0,36.5,1.0,0,0.0,Ready To Move,Other,54.833333333333336,705.0
Super built-up  Area,5.0,2.0,155.0,3.0,1,25.0,Ready To Move,harlur,110.74233766233766,2240.0
Super built-up  Area,3.0,1.0,103.0,3.0,1,5.0,Ready To Move,hegde nagar,138.99687500000002,1584.01
Super built-up  Area,3.0,3.0,77.0,3.0,1,1.0,Ready To Move,Other,77.0,1340.0
Super built-up  Area,3.0,2.0,70.0,3.0,1,1.0,Ready To Move,Other,57.5,1800.0
Super built-up  Area,2.0,3.0,45.0,2.0,0,0.0,Ready To Move,r.t. nagar,138.30555555555554,1200.0
Super built-up  Area,1.0,1.0,40.0,1.0,1,18.0,Q4 Possession,sarjapur  road,120.91663588390502,685.0
Super built-up  Area,2.0,3.0,42.0,2.0,1,8.0,Ready To Move,Other,54.4,925.0
Super built-up  Area,2.0,2.0,57.0,2.0,1,3.0,Ready To Move,Other,70.66666666666667,1230.0
Plot  Area,5.0,1.0,185.0,5.0,0,0.0,Ready To Move,Other,156.0,1200.0
Super built-up  Area,2.0,1.0,52.0,2.0,1,1.0,Ready To Move,kodichikkanahalli,69.64814814814815,1125.0
Super built-up  Area,2.0,1.0,54.0,2.0,0,0.0,Ready To Move,hebbal,164.6091304347826,1100.0
Plot  Area,3.0,2.0,149.0,3.0,1,3.0,Q3 Possession,jigani,74.94698113207548,2400.0
Super built-up  Area,2.0,2.0,41.58,3.0,1,56.0,Q3 Possession,electronic city phase ii,48.68390625,1400.0
Plot  Area,7.0,2.0,225.0,7.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,1200.0
Super built-up  Area,3.0,1.0,98.3,3.0,1,9.0,Ready To Move,jakkur,134.956,1858.0
Plot  Area,1.0,1.0,41.0,1.0,0,0.0,Ready To Move,Other,67.33333333333333,1260.0
Built-up  Area,4.0,2.0,290.0,4.0,1,19.0,Ready To Move,ambedkar nagar,190.72413793103448,3530.0
Super built-up  Area,2.0,2.0,60.0,2.0,0,0.0,Ready To Move,hsr layout,115.41463414634147,1185.0
Plot  Area,2.0,1.0,216.0,2.0,0,0.0,Ready To Move,Other,277.0,1200.0
Super built-up  Area,2.0,1.0,58.0,2.0,0,0.0,Ready To Move,hennur,75.1011224489796,1255.0
Super built-up  Area,6.0,3.0,475.0,4.0,0,0.0,Ready To Move,rajaji nagar,327.69308411214956,3436.0
Built-up  Area,3.0,2.0,89.0,3.0,1,4.0,Ready To Move,kudlu gate,83.4677027027027,1335.0
Super built-up  Area,3.0,2.0,132.0,3.0,0,0.0,Ready To Move,dodda nekkundi,106.58413793103449,1999.0
Plot  Area,2.0,1.0,125.0,2.0,0,0.0,Ready To Move,Other,109.25,1200.0
Super built-up  Area,3.0,2.0,110.0,3.0,1,23.0,Ready To Move,kundalahalli,133.25891304347826,1397.0
Plot  Area,10.0,2.0,105.0,10.0,1,1.0,Ready To Move,jigani,74.94698113207548,1200.0
Super built-up  Area,4.0,2.0,450.0,4.0,0,0.0,Ready To Move,Other,239.0625,3950.0
Plot  Area,2.0,1.0,130.0,2.0,1,16.0,Ready To Move,yelahanka new town,83.86585365853658,1200.0
Plot  Area,3.0,0.0,95.0,3.0,0,0.0,Ready To Move,Other,114.704375,1616.0
Plot  Area,7.0,2.0,350.0,8.0,0,0.0,Ready To Move,banashankari stage iii,125.9832,1200.0
Built-up  Area,2.0,1.0,175.0,4.0,0,0.0,Ready To Move,Other,203.33333333333334,1270.0
Super built-up  Area,2.0,2.0,38.55,2.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1140.0
Super built-up  Area,1.0,1.0,30.0,1.0,1,63.0,Q1 Possession,kanakpura road,71.84865461847389,525.0
Plot  Area,2.0,1.0,98.0,3.0,0,0.0,Ready To Move,varthur,69.75897058823529,1200.0
Built-up  Area,1.0,1.0,162.0,1.0,0,0.0,Ready To Move,Other,101.0,700.0
Super built-up  Area,2.0,1.0,81.0,2.0,1,38.0,Q3 Possession,balagere,61.03306818181818,1205.47
Plot  Area,3.0,2.0,130.0,3.0,0,0.0,Ready To Move,Other,105.0,1200.0
Super built-up  Area,3.0,2.0,75.0,3.0,1,2.0,Ready To Move,electronic city,55.482145328719724,1700.0
Plot  Area,4.0,0.0,62.0,5.0,0,0.0,Ready To Move,thanisandra,82.59086206896552,750.0
Super built-up  Area,2.0,1.0,54.54,2.0,1,15.0,Q2 Possession,kanakpura road,71.84865461847389,1090.0
Super built-up  Area,5.0,2.0,220.0,4.0,1,45.0,Ready To Move,yeshwanthpur,98.1728313253012,3600.0
Built-up  Area,1.0,0.0,650.0,1.0,0,0.0,Ready To Move,kundalahalli,133.25891304347826,2400.0
Super built-up  Area,1.0,1.0,60.84,1.0,1,34.0,Q1 Possession,thanisandra,82.59086206896552,923.0
Super built-up  Area,6.0,2.0,360.0,4.0,1,2.0,Q2 Possession,Other,310.0,3595.0
Super built-up  Area,2.0,2.0,48.0,2.0,1,1.0,Ready To Move,green glen layout,118.04615384615386,1050.0
Super built-up  Area,2.0,2.0,79.5,2.0,1,13.0,Ready To Move,whitefield,129.65500954198475,1495.0
Super built-up  Area,3.0,2.0,93.865,3.0,1,25.0,Q1 Possession,hennur road,103.92855704697986,1664.0
Built-up  Area,3.0,2.0,85.0,3.0,0,0.0,Ready To Move,Other,87.228,1485.0
Super built-up  Area,2.0,2.0,31.5,3.0,0,0.0,Q4 Possession,Other,41.02846153846154,1033.0
Super built-up  Area,2.0,1.0,48.0,3.0,1,9.0,Ready To Move,electronic city,55.482145328719724,1400.0
Built-up  Area,1.0,0.0,70.0,1.0,0,0.0,Ready To Move,indira nagar,288.3255813953488,500.0
Super built-up  Area,2.0,1.0,35.0,2.0,1,3.0,Ready To Move,sarjapur  road,120.91663588390502,944.0
Built-up  Area,5.0,0.0,290.0,5.0,0,0.0,Ready To Move,whitefield,129.65500954198475,3250.0
Super built-up  Area,2.0,1.0,66.48,2.0,1,54.0,Q1 Possession,whitefield,129.65500954198475,1216.0
Super built-up  Area,2.0,1.0,39.5,2.0,0,0.0,Ready To Move,Other,74.52625,1100.0
Super built-up  Area,3.0,2.0,93.25,3.0,1,4.0,Ready To Move,thanisandra,82.59086206896552,1743.0
Super built-up  Area,2.0,2.0,48.42,2.0,1,13.0,Ready To Move,yelahanka,86.26330952380954,1274.0
Super built-up  Area,3.0,2.0,425.0,3.0,0,0.0,Ready To Move,Other,386.2,2500.0
Super built-up  Area,2.0,2.0,110.0,3.0,1,3.0,Ready To Move,mysore road,68.2984,1512.0
Super built-up  Area,5.0,1.0,385.0,4.0,0,0.0,Ready To Move,Other,744.375,3100.0
Super built-up  Area,3.0,3.0,100.0,3.0,0,0.0,Ready To Move,Other,126.66666666666667,1650.0
Built-up  Area,3.0,1.0,55.0,3.0,1,1.0,Ready To Move,doddathoguru,44.323793103448274,1875.0
Built-up  Area,3.0,2.0,54.0,3.0,0,0.0,Ready To Move,whitefield,129.65500954198475,1350.0
Super built-up  Area,2.0,2.0,40.0,2.0,0,0.0,Ready To Move,Other,72.6,1219.0
Plot  Area,4.0,1.0,150.0,4.0,0,0.0,Ready To Move,Other,150.0,1200.0
Plot  Area,3.0,3.0,85.0,3.0,0,0.0,Ready To Move,Other,78.74,2400.0
Super built-up  Area,2.0,1.0,44.4,2.0,0,0.0,Ready To Move,hormavu,71.35376712328767,1141.0
Super built-up  Area,2.0,1.0,43.1,2.0,1,10.0,Ready To Move,anandapura,57.38,1151.0
Plot  Area,3.0,1.0,77.0,3.0,1,9.0,Ready To Move,Other,312.6923076923077,832.0
Super built-up  Area,2.0,1.0,38.0,2.0,1,19.0,Ready To Move,sarjapur  road,120.91663588390502,915.0
Plot  Area,3.0,0.0,270.0,3.0,0,0.0,Ready To Move,Other,167.03666666666666,3259.0
Super built-up  Area,2.0,1.0,65.12,2.0,1,63.0,Q4 Possession,bannerghatta road,98.6713422818792,1115.0
Super built-up  Area,4.0,2.0,139.0,3.0,1,39.0,Ready To Move,thigalarapalya,157.65687499999999,2072.0
Super built-up  Area,2.0,2.0,53.0,2.0,1,1.0,Ready To Move,kaggadasapura,61.284375,1200.0
Super built-up  Area,2.0,2.0,65.0,2.0,1,1.0,Ready To Move,singasandra,73.18,1300.0
Super built-up  Area,2.0,2.0,85.0,2.0,1,1.0,Ready To Move,bellandur,92.00365591397849,1457.0
Super built-up  Area,2.0,2.0,55.0,2.0,1,2.0,Ready To Move,Other,90.10944444444445,1262.0
Plot  Area,3.0,1.0,150.0,4.0,0,0.0,Ready To Move,Other,133.0,1196.0
Super built-up  Area,2.0,2.0,22.5,2.0,0,0.0,Q3 Possession,ananth nagar,34.392758620689655,900.0
Built-up  Area,1.0,1.0,17.0,1.0,1,12.0,Ready To Move,attibele,46.95951219512195,420.0
Super built-up  Area,2.0,1.0,46.39,2.0,0,0.0,Ready To Move,kanakapura,59.73448717948718,1160.0
Super built-up  Area,2.0,2.0,50.0,2.0,0,0.0,Ready To Move,kasavanhalli,116.52607594936708,1115.0
Built-up  Area,2.0,1.0,85.4,3.0,0,0.0,Ready To Move,jp nagar,126.43739436619718,1315.0
Built-up  Area,2.0,2.0,57.0,2.0,0,0.0,Ready To Move,babusapalaya,53.1004,1500.0
Super built-up  Area,2.0,1.0,68.0,2.0,1,2.0,Ready To Move,hsr layout,115.41463414634147,1127.0
Super built-up  Area,3.0,2.0,104.0,3.0,1,23.0,Q1 Possession,kundalahalli,133.25891304347826,1397.0
Built-up  Area,2.0,1.0,60.0,2.0,0,0.0,Q4 Possession,whitefield,129.65500954198475,1173.0
Super built-up  Area,2.0,2.0,28.0,2.0,0,0.0,Ready To Move,Other,46.583333333333336,1090.0
Super built-up  Area,5.0,2.0,210.0,3.0,1,12.0,Ready To Move,sarjapur  road,120.91663588390502,2720.0
Super built-up  Area,2.0,1.0,76.0,2.0,1,14.0,Q2 Possession,jakkur,134.956,1230.0
Super built-up  Area,3.0,3.0,190.0,4.0,0,0.0,Ready To Move,Other,190.0,3200.0
Super built-up  Area,2.0,1.0,31.57,2.0,1,3.0,Q4 Possession,sarjapur  road,120.91663588390502,858.0
Super built-up  Area,3.0,1.0,121.0,3.0,1,19.0,Q1 Possession,talaghattapura,102.27194444444444,1868.0
Super built-up  Area,3.0,2.0,91.2,3.0,1,5.0,Ready To Move,uttarahalli,63.26853503184713,1689.28
Built-up  Area,3.0,2.0,73.0,4.0,0,0.0,Ready To Move,Other,66.66666666666667,600.0
Super built-up  Area,3.0,3.0,49.88,3.0,0,0.0,Ready To Move,banashankari,111.9226388888889,1425.0
Plot  Area,6.0,2.0,170.0,6.0,0,0.0,Ready To Move,subramanyapura,67.14750000000001,1200.0
Plot  Area,2.0,1.0,100.0,2.0,0,0.0,Ready To Move,Other,100.61818181818181,1350.0
Built-up  Area,6.0,0.0,180.0,6.0,0,0.0,Ready To Move,channasandra,62.578421052631576,4200.0
Super built-up  Area,2.0,1.0,85.0,3.0,1,2.0,Ready To Move,uttarahalli,63.26853503184713,1310.0
Super built-up  Area,4.0,2.0,175.0,4.0,1,33.0,Q2 Possession,haralur road,96.60401960784314,3185.0
Super built-up  Area,2.0,1.0,40.0,2.0,0,0.0,Ready To Move,Other,38.0,970.0
Super built-up  Area,3.0,3.0,108.0,3.0,1,23.0,Q2 Possession,kundalahalli,133.25891304347826,1397.0
Super built-up  Area,2.0,1.0,40.0,2.0,1,1.0,Q3 Possession,sarjapur,94.40676829268293,1157.0
Super built-up  Area,2.0,1.0,61.2,2.0,0,0.0,Ready To Move,kasavanhalli,116.52607594936708,1125.0
Super built-up  Area,2.0,1.0,42.0,2.0,1,5.0,Ready To Move,sonnenahalli,54.31340909090909,1157.0
Super built-up  Area,2.0,1.0,82.0,2.0,1,1.0,Ready To Move,sarjapur  road,120.91663588390502,1241.0
Super built-up  Area,1.0,1.0,62.0,1.0,1,10.0,Q4 Possession,binny pete,148.8055,660.0
Built-up  Area,4.0,3.0,220.0,4.0,1,17.0,Ready To Move,marathahalli,102.42970414201183,4000.0
Super built-up  Area,4.0,1.0,148.0,4.0,1,8.0,Ready To Move,Other,116.485,2340.0
Built-up  Area,1.0,1.0,42.0,1.0,1,3.0,Ready To Move,Other,42.333333333333336,596.0
Super built-up  Area,16.0,2.0,550.0,16.0,0,0.0,Ready To Move,Other,575.0,10000.0
Plot  Area,4.0,3.0,110.0,4.0,1,1.0,Ready To Move,Other,104.5,1200.0
Super built-up  Area,3.0,1.0,190.0,3.0,1,7.0,Ready To Move,Other,158.85714285714286,1910.0
Super built-up  Area,2.0,2.0,80.0,2.0,1,2.0,Ready To Move,brookefield,118.48936170212765,1139.0
Super built-up  Area,5.0,2.0,225.0,4.0,1,39.0,Ready To Move,thigalarapalya,157.65687499999999,3122.0
Super built-up  Area,2.0,2.0,28.41,2.0,0,0.0,Q3 Possession,Other,78.74,1033.0
Super built-up  Area,2.0,2.0,64.08,2.0,1,45.0,Ready To Move,yeshwanthpur,98.1728313253012,1168.0
Super built-up  Area,2.0,3.0,42.0,2.0,0,0.0,Ready To Move,chandapura,36.56774390243902,877.0
Built-up  Area,2.0,2.0,75.0,2.0,1,23.0,Q3 Possession,electronics city phase 1,55.10181818181818,1340.0
Built-up  Area,2.0,2.0,70.0,3.0,1,1.0,Ready To Move,Other,65.03444444444443,1405.0
Super built-up  Area,3.0,3.0,65.0,3.0,0,0.0,Ready To Move,Other,314.1666666666667,1800.0
Built-up  Area,3.0,3.0,149.0,3.0,1,4.0,Ready To Move,Other,122.71428571428571,1750.0
Super built-up  Area,2.0,1.0,65.0,3.0,1,6.0,Ready To Move,Other,55.544999999999995,1360.0
Plot  Area,2.0,0.0,148.0,3.0,0,0.0,Ready To Move,malleshwaram,359.8803571428571,675.0
Super built-up  Area,2.0,1.0,63.0,2.0,1,1.0,Q2 Possession,Other,57.714285714285715,985.0
Super built-up  Area,2.0,1.0,129.0,2.0,0,0.0,Q3 Possession,Other,268.14285714285717,1300.0
Super built-up  Area,3.0,2.0,150.0,3.0,1,5.0,Ready To Move,7th phase jp nagar,104.03466666666667,1850.0
Super built-up  Area,2.0,3.0,88.0,3.0,1,1.0,Ready To Move,Other,89.8,1490.0
Super built-up  Area,1.0,1.0,25.0,2.0,1,4.0,Ready To Move,Other,26.2,620.0
Super built-up  Area,2.0,1.0,42.3,2.0,0,0.0,Q3 Possession,hormavu,71.35376712328767,1130.0
Super built-up  Area,2.0,2.0,55.0,2.0,1,3.0,Ready To Move,yelachenahalli,89.825,1080.0
Built-up  Area,4.0,2.0,120.0,4.0,0,0.0,Ready To Move,singasandra,73.18,3126.0
Super built-up  Area,2.0,3.0,52.17,3.0,1,37.0,Ready To Move,begur road,59.920405405405404,1410.0
Super built-up  Area,3.0,2.0,59.0,3.0,0,0.0,Ready To Move,bommanahalli,61.07971428571428,1375.0
Super built-up  Area,2.0,1.0,94.5,3.0,1,10.0,Ready To Move,hennur road,103.92855704697986,1290.0
Super built-up  Area,2.0,1.0,85.28,3.0,1,12.0,Q1 Possession,hosa road,70.76757142857143,1318.0
Super built-up  Area,2.0,1.0,68.0,2.0,1,48.0,Ready To Move,electronic city,55.482145328719724,1128.0
Plot  Area,4.0,2.0,255.0,4.0,1,6.0,Ready To Move,Other,255.83333333333334,4428.0
Super built-up  Area,2.0,2.0,56.74,2.0,1,15.0,Q1 Possession,kanakpura road,71.84865461847389,1051.0
Plot  Area,5.0,0.0,275.0,3.0,0,0.0,Ready To Move,kengeri,61.44150684931506,3500.0
Plot  Area,4.0,1.0,130.0,4.0,1,1.0,Ready To Move,Other,90.10944444444445,2400.0
Super built-up  Area,2.0,3.0,85.0,2.0,1,13.0,Ready To Move,yelahanka,86.26330952380954,1327.0
Super built-up  Area,6.0,2.0,210.0,4.0,1,39.0,Ready To Move,thigalarapalya,157.65687499999999,2912.0
Super built-up  Area,2.0,2.0,55.0,2.0,1,2.0,Ready To Move,Other,56.333333333333336,1301.0
Super built-up  Area,1.0,0.0,30.0,1.0,0,0.0,Ready To Move,Other,86.66666666666667,650.0
Plot  Area,3.0,1.0,67.75,3.0,0,0.0,Q3 Possession,varthur,69.75897058823529,1200.0
Super built-up  Area,2.0,2.0,89.99,3.0,0,0.0,Ready To Move,Other,146.80555555555554,1500.0
Plot  Area,6.0,2.0,675.0,4.0,0,0.0,Ready To Move,Other,392.8333333333333,2700.0
Plot  Area,4.0,2.0,145.0,4.0,0,0.0,Ready To Move,Other,100.5,1350.0
Built-up  Area,2.0,1.0,28.88,2.0,1,56.0,Q3 Possession,electronic city phase ii,48.68390625,1000.0
Super built-up  Area,2.0,1.0,45.91,2.0,1,18.0,Q4 Possession,sarjapur  road,120.91663588390502,984.0
Super built-up  Area,3.0,1.0,160.0,3.0,1,10.0,Q2 Possession,jakkur,134.956,1819.18
Built-up  Area,1.0,0.0,175.0,1.0,0,0.0,Ready To Move,nagarbhavi,117.20333333333333,900.0
Super built-up  Area,3.0,1.0,83.87,3.0,1,13.0,Q2 Possession,hebbal,164.6091304347826,1355.0
Super built-up  Area,4.0,1.0,270.0,3.0,1,7.0,Ready To Move,Other,241.87357142857144,2145.0
Super built-up  Area,4.0,3.0,300.0,3.0,1,13.0,Ready To Move,malleshwaram,359.8803571428571,2475.0
Super built-up  Area,2.0,0.0,30.0,2.0,0,0.0,Q3 Possession,kaggadasapura,61.284375,1118.0
Super built-up  Area,1.0,1.0,42.0,1.0,0,0.0,Ready To Move,Other,62.613749999999996,910.0
Super built-up  Area,3.0,2.0,39.0,3.0,0,0.0,Q2 Possession,Other,65.92857142857143,1250.0
Super built-up  Area,2.0,3.0,100.0,2.0,1,2.0,Q1 Possession,hosakerehalli,179.60333333333335,1304.0
Super built-up  Area,3.0,2.0,58.0,3.0,1,37.0,Ready To Move,begur road,59.920405405405404,1615.0
Super built-up  Area,2.0,2.0,68.0,2.0,1,6.0,Ready To Move,sarjapur  road,120.91663588390502,1400.0
Super built-up  Area,2.0,2.0,47.5,2.0,1,1.0,Ready To Move,cv raman nagar,79.58952380952381,1070.0
Super built-up  Area,3.0,3.0,395.0,3.0,1,4.0,Q4 Possession,hebbal,164.6091304347826,3500.0
Super built-up  Area,2.0,1.0,89.37,2.0,1,26.0,Q2 Possession,hoodi,91.65022727272728,1132.0
Super built-up  Area,3.0,2.0,85.0,3.0,0,0.0,Ready To Move,Other,151.70666666666668,2000.0
Plot  Area,5.0,1.0,550.0,7.0,0,0.0,Ready To Move,hebbal,164.6091304347826,2400.0
Super built-up  Area,1.0,2.0,65.0,1.0,1,4.0,Ready To Move,Other,86.025625,794.0
Super built-up  Area,2.0,2.0,43.59,2.0,1,3.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1090.0
Super built-up  Area,3.0,2.0,70.0,3.0,1,3.0,Ready To Move,gottigere,61.017291666666665,1500.0
Super built-up  Area,3.0,2.0,225.0,3.0,1,6.0,Ready To Move,1st phase jp nagar,170.7,2059.0
Super built-up  Area,2.0,1.0,75.97,2.0,1,28.0,Q2 Possession,bhoganhalli,99.72558139534884,1447.0
Super built-up  Area,2.0,1.0,75.0,2.0,1,1.0,Q4 Possession,whitefield,129.65500954198475,1269.0
Plot  Area,4.0,0.0,700.0,4.0,0,0.0,Q2 Possession,Other,260.3333333333333,4800.0
Super built-up  Area,2.0,2.0,37.45,2.0,1,2.0,Ready To Move,kanakpura road,71.84865461847389,1070.0
Super built-up  Area,2.0,0.0,28.0,2.0,0,0.0,Ready To Move,talaghattapura,102.27194444444444,1150.0
Super built-up  Area,2.0,2.0,70.0,2.0,0,0.0,Ready To Move,marathahalli,102.42970414201183,1208.0
Super built-up  Area,2.0,1.0,45.5,2.0,1,1.0,Ready To Move,ramamurthy nagar,86.1576388888889,1185.0
Plot  Area,3.0,1.0,130.0,3.0,0,0.0,Ready To Move,Other,101.91666666666667,1200.0
Super built-up  Area,2.0,1.0,34.0,2.0,0,0.0,Ready To Move,anekal,37.62903225806452,888.0
Super built-up  Area,2.0,2.0,25.88,2.0,1,19.0,Q3 Possession,chandapura,36.56774390243902,1015.0
Built-up  Area,1.0,1.0,22.49,1.0,0,0.0,Ready To Move,Other,19.244999999999997,532.0
Super built-up  Area,3.0,1.0,62.0,3.0,0,0.0,Ready To Move,Other,62.0,1060.0
Built-up  Area,1.0,1.0,35.0,1.0,0,0.0,Ready To Move,electronic city,55.482145328719724,700.0
Super built-up  Area,2.0,2.0,42.0,2.0,1,1.0,Ready To Move,Other,42.0,902.0
Plot  Area,3.0,3.0,95.0,6.0,0,0.0,Ready To Move,Other,95.0,600.0
Super built-up  Area,2.0,1.0,122.0,2.0,1,10.0,Q4 Possession,binny pete,148.8055,1365.0
Super built-up  Area,2.0,1.0,51.0,2.0,1,1.0,Ready To Move,doddathoguru,44.323793103448274,984.0
Plot  Area,2.0,2.0,100.0,4.0,0,0.0,Ready To Move,hebbal,164.6091304347826,2700.0
Super built-up  Area,3.0,2.0,96.0,3.0,0,0.0,Ready To Move,Other,58.00666666666666,1475.0
Super built-up  Area,2.0,2.0,79.0,2.0,1,10.0,Ready To Move,haralur road,96.60401960784314,1300.0
Plot  Area,6.0,1.0,220.0,5.0,0,0.0,Ready To Move,Other,202.75,1200.0
